code,section__exercise_set__slug,section__number,number,question_type,context_note,stem_jp,star_position,correct_order,explanation_vi
bt08-q07,bai-tap-8,1,7,ordering,,"A「中野先生のご専門は何ですか。」
B「私も、よく分からないですけど、____ ____ __★__ ____みたいですよ。」",3,4213,
bt08-q08,bai-tap-8,1,8,ordering,,20日までに____ __★__ ____ ____できます。,2,3241,
bt08-q09,bai-tap-8,1,9,ordering,,人間は____ ____ __★__ ____おりません。,3,4231,
bt08-q10,bai-tap-8,1,10,ordering,,出席欠席の____ ____ __★__ ____ようお願いいたします。,3,4132,
bt09-q01,bai-tap-9,1,1,mcq_blank,,他のお客様のご迷惑になりますので、館内での喫煙は____ようお願いいたします。,,,
bt09-q02,bai-tap-9,1,2,mcq_blank,,"A「すみませんが、博物館内でのカメラやビデオは____。」
B「そうですか、どうもすみません。」",,,
bt09-q03,bai-tap-9,1,3,mcq_blank,,ご意見を____たく、アンケートを同封させていただきます。,,,
bt09-q04,bai-tap-9,1,4,mcq_blank,,二十四時間どなたでも本会館のすべてのスポーツ施設を____。,,,
bt09-q05,bai-tap-9,1,5,mcq_blank,,長い間ご無沙汰しておりますが、お元気でいらっしゃいますか。一度____と思っておりますが、ご都合はいかがでしょう。,,,
bt09-q06,bai-tap-9,1,6,mcq_blank,,お客様、申し訳ございませんが、あちらの方たちにお席を____わけには参りませんでしょうか。,,,
bt09-q07,bai-tap-9,1,7,mcq_blank,,オーストラリアに渡った叔母さんのことはよく____。,,,
bt09-q08,bai-tap-9,1,8,mcq_blank,,"A「そのマフラー、よくお似合いですね。」
B「ありがとうございます。三島部長の奥様に____んです。」",,,
bt09-q09,bai-tap-9,1,9,mcq_blank,,先日はお招きいただきまして、ありがとうございました。とても____ございました。,,,
bt09-q10,bai-tap-9,1,10,mcq_blank,,参加を希望される方は、申し込み用紙に____。,,,
bt10-q01,bai-tap-10,1,1,mcq_blank,,同封のアンケートは、質問に____上でポストにお入れくださいますようにお願いいいたします。,,,
bt10-q02,bai-tap-10,1,2,mcq_blank,,今週一週間に限って____お客様に粗品を差し上げます。,,,
bt10-q03,bai-tap-10,1,3,mcq_blank,,お客様に、ご案内____。ただいま6階におきまして全国連合ブックフェアを開いております。,,,
bt10-q04,bai-tap-10,1,4,mcq_blank,,"A「吉田さんは、お幸せですね。奥様がおきれいで____から。」
B「いや、とんでもない。」",,,
bt10-q05,bai-tap-10,1,5,mcq_blank,,あのう、久保教授でいらっしゃいますか。私、先日、教授の講演会で____伊藤と申します。,,,
bt10-q06,bai-tap-10,1,6,mcq_blank,,安倍教授はもう30年も中国史を研究して____そうです。,,,
bt10-q07,bai-tap-10,1,7,mcq_blank,,これからも子どものための番組製作の努力を続けて____と存じます。,,,
bt10-q08,bai-tap-10,1,8,mcq_blank,,社長もこの事件は____いらっしゃいますか。,,,
bt10-q09,bai-tap-10,1,9,mcq_blank,,"A「すみません。お写真を____よろしいでしょうか。」
B「ええ、かまいませんよ。」",,,
bt10-q10,bai-tap-10,1,10,mcq_blank,,荒木教授が丁寧に____おかげで、論文を書き上げることができました。心をこめて深く感謝しております。,,,
bt11-q01,bai-tap-11,1,1,mcq_blank,,このたびの報道で皆様に大変ご心配をおかけしましたことを心より____。申し訳ございませんでした。」,,,
bt11-q02,bai-tap-11,1,2,mcq_blank,,"面接官「おそれいりますが、この料理屋に向ける資格は____。」
応募者「はい、調理師の資格をお持ちしています。」",,,
bt11-q03,bai-tap-11,1,3,mcq_blank,,"店員「こちらのキャンピングカーは、中古車ですが、____新車と変わらないくらいきれいです。」
客「そうですね。」",,,
bt11-q04,bai-tap-11,1,4,mcq_blank,,貴社の製品に興味を持ちました。一度お時間をいただき、もう少しお話を____いただければと思っております。,,,
bt11-q05,bai-tap-11,1,5,mcq_blank,,石原先生が私に毎日熱心に指導を____。そのおかげで志望校の東大へ合格できました。本当にお世話になり、ありがとうございました。,,,
bt11-q06,bai-tap-11,1,6,mcq_blank,,悩んでいる時は、誰かに話を____気が楽になったり、少し状況を冷静に見ることができるようになったりします。,,,
bt11-q07,bai-tap-11,1,7,mcq_blank,,私は、娘がやりたいことはなるべく____と思っています。,,,
bt11-q08,bai-tap-11,1,8,mcq_blank,,"A「ごめんごめん。この前借りた本、きょう返そうと思っていたのに、持ってくるの忘れちゃった。」
B「ああ、別に急がないから、次に会う時に____よ。」",,,
bt11-q09,bai-tap-11,1,9,mcq_blank,,もしこちらに____ことがありましたら、ぜひお立ち寄りください。,,,
bt11-q10,bai-tap-11,1,10,mcq_blank,,皆さんは、最近になって木造建築が見直されていることを____。,,,
bt11-q11,bai-tap-11,1,11,mcq_blank,,当商品はクレジットカード決済限定にてご注文を____。,,,
bt11-q12,bai-tap-11,1,12,mcq_blank,,"店員「お客様、なにか____、ご案内いたしますが。」
客「あ、居間に敷くカーペットを探しているんです。」",,,
bt11-q13,bai-tap-11,1,13,mcq_blank,,"山本「石原さん、ギターが欲しいって言っていましたよね。私の息子が使っていたギターがあるんです。よければどうですか。」
石原「いいんですか。」
山本「はい。息子に聞いたら、弾いてくれる方がいるなら、ぜひと言っていたので、どうぞもらって____。」",,,
bt11-q14,bai-tap-11,1,14,mcq_blank,,今、世界はコロナウイルスでたくさんの尊い命が奪われ、当たり前のことが当たり前ではなくなり、生きていくことの厳しさを____毎日です。,,,
bt12-q01,bai-tap-12,1,1,mcq_blank,,入場券を____でない方は、こちらでお求めください。,,,
bt12-q02,bai-tap-12,1,2,mcq_blank,,今回はその工場の撮影に成功したので、皆さんにも____たいと思う。,,,
bt12-q03,bai-tap-12,1,3,mcq_blank,,ご用が____、わたくしにおっしゃってください。,,,
bt12-q04,bai-tap-12,1,4,mcq_blank,,先生、ここがよくわからなかったのですが、もう一度____か。,,,
bt12-q05,bai-tap-12,1,5,mcq_blank,,こちらは山田さんのお父さんで____。,,,
bt12-q06,bai-tap-12,1,6,mcq_blank,,パーティーのご案内状をお送りしたいのですが、つきましてはご住所を____ませんでしょうか。,,,
bt12-q07,bai-tap-12,1,7,mcq_blank,,先生は、学生たちに「テストはよくできました」と____。,,,
bt12-q08,bai-tap-12,1,8,mcq_blank,,おじょうさまの結婚式には、ぜひわがホテルをご利用____でしょうか。,,,
bt12-q09,bai-tap-12,1,9,mcq_blank,,本日は大変にぎやかな「春の懇親会」に____、まことにありがとうございます。,,,
bt12-q10,bai-tap-12,1,10,mcq_blank,,すっかり寒くなって____が、皆さんはいかがお過ごしでしょうか。,,,
bt12-q11,bai-tap-12,2,11,cloze,,(11),,,
bt12-q12,bai-tap-12,2,12,cloze,,(12),,,
bt12-q13,bai-tap-12,3,13,cloze,,(13),,,
bt12-q14,bai-tap-12,3,14,cloze,,(14),,,
bt12-q15,bai-tap-12,3,15,cloze,,(15),,,
bt13-q01,bai-tap-13,1,1,mcq_blank,,弊社の山本という者が、午後に原稿をいただきに____ので，よろしくお願いいたします。,,,
bt13-q02,bai-tap-13,1,2,mcq_blank,（手紙で）,師走を迎え、慌ただしい日々をお過ごしのことと____が、お元気でいらっしゃいますか。,,,
bt13-q03,bai-tap-13,1,3,mcq_blank,,田中さんをはじめ皆様と貴重な時間を____、普段お聞きすることのないお話を伺うことができ、大変勉強になりました。,,,
bt13-q04,bai-tap-13,1,4,mcq_blank,（メールで）,このたびは山田様がおけがをされてご入院なさったとのこと、本当に驚きました。その後の具合はいかがでございますか。一刻も早く回復____。,,,
bt13-q05,bai-tap-13,1,5,mcq_blank,,"山田「石原先生をご存じですか｡」
田中「石原先生ならよく____よ｡」",,,
bt13-q06,bai-tap-13,1,6,mcq_blank,,会場でスマートフォンが使えないということは参加者には____、みんな困っていた。主催者は全員知っていたらしい。,,,
bt13-q07,bai-tap-13,1,7,mcq_blank,,出品・輸入共に、それぞれ該当の受付期間、条件・注意事項がございますので、下記説明を____お手続きください。,,,
bt13-q08,bai-tap-13,1,8,mcq_blank,,1日使ったヘルメットを清潔に保ち、次に装着の際は気持ちよく____｡,,,
bt13-q09,bai-tap-13,1,9,mcq_blank,,お客さまのご都合による返品は____ので、あらかじめご了解ください。,,,
bt13-q10,bai-tap-13,1,10,mcq_blank,,"A「芥川賞受賞、おめでとうございます。受賞された時のお気持ちを____。」
B「受賞の知らせを受けた時はまったく信じられなかったですね。」",,,
bt13-q11,bai-tap-13,1,11,mcq_blank,,子供が嫌がっているにもかかわらず無理に____のは、余計に嫌いになってしまうだけです。,,,
bt13-q12,bai-tap-13,1,12,mcq_blank,,あまりいびきがひどいと、友人や家族から____、一緒に旅行してもらえないこともあります。,,,
bt13-q13,bai-tap-13,1,13,mcq_blank,,去年開園する前は、ここは牛を飼い、乳を搾る農家の農場だった。広い畑が拡がり、牛の鳴き声があたりに響いて、のんびりした気分に____ところだった。,,,
bt13-q14,bai-tap-13,1,14,mcq_blank,,私は、校内に畑を作って生徒たちに野菜を____ことを校長に提案した。,,,
bt13-q15,bai-tap-13,1,15,mcq_blank,,リーさんはクラスで日本語が一番上手だが、これまで多くの生徒を教えてきた私に____、まだまだなんだ。,,,
bt13-q16,bai-tap-13,1,16,mcq_blank,,経理職の立場____、コスト削減への取り組み方が魅力だと思う。単純に人件費や経費をカットするのではなく、生産設備の開発で、生産能力を上げたりしてコスト削減を実現させている。,,,
bt13-q17,bai-tap-13,1,17,mcq_blank,,親に内緒で同棲して、一緒に住んでいることが後からばれてしまうと、無理やり____、結婚を認めてもらえなくなったりしてしまう場合があります。,,,
bt13-q18,bai-tap-13,1,18,mcq_blank,,昨日2時間も____あげく、まずい料理を食べさせられた。,,,
bt13-q19,bai-tap-13,1,19,mcq_blank,,ハチの巣をご自身で対処されると、万が一____大変危険です。,,,
bt14-q01,bai-tap-14,1,1,mcq_blank,,3月21日にバスツアーを開催予定でしたが、新型コロナウイルスの感染拡大を考慮し、ご参加者の安全を第一に考えた結果、中止することにいたししました。何卒ご理解____お願い申し上げます。,,,
bt14-q02,bai-tap-14,1,2,mcq_blank,,この度は、弊社の電話対応に不手際があり、ご迷惑をおかけしましたことを深く____,,,
bt14-q03,bai-tap-14,1,3,mcq_blank,,契約の内容を確認させていただきましたが、1点ご変更____項目がございます。,,,
bt14-q04,bai-tap-14,1,4,mcq_blank,,可能な限りご予算内で対応させていただきますので、是非前向きにご検討いただければ幸いに____。,,,
bt14-q05,bai-tap-14,1,5,mcq_blank,,アンティーク商品のため、経年による多少の傷や汚れ、色落ちなどがございます。写真をよく____、購入くださいますようお願いいたします。,,,
bt14-q06,bai-tap-14,1,6,mcq_blank,,お客様から____ご意見・ご指摘は今後の運営に反映させて参りますので、お気づきの点等がございましたら是非ともお気軽にお寄せください。,,,
bt14-q07,bai-tap-14,1,7,mcq_blank,,具合はいかがですか。一日も早くお元気に____書中にてお見舞い申し上げます。,,,
bt14-q08,bai-tap-14,1,8,mcq_blank,,大統領に再選されたA氏は「これまで実施してきた施策の結果を検証しつつ、計画に掲げる政策・施策を着実に実行して____」と決意を述べた。,,,
bt14-q09,bai-tap-14,1,9,mcq_blank,,弊社は商品の発送には十分配慮しておりますが、配送時の破損による劣化等お気づきの点がございましたら、直ちに電話にてお知らせ____,,,
bt14-q10,bai-tap-14,1,10,mcq_blank,,ご結婚おめでとうございます。今の気持ちを____,,,
bt14-q11,bai-tap-14,1,11,mcq_blank,,素晴らしい旅館でした。ありがとうございました。また、来年のこの時期にお邪魔に____、ので、よろしくお願いいたします。,,,
bt14-q12,bai-tap-14,1,12,mcq_blank,,新入社員の山下さんのことなんですが、仕事中におしゃべりが多くて困っているんです。課長から一言____。,,,
bt14-q13,bai-tap-14,1,13,mcq_blank,,課長、税務署に提出する書類なんですが、なるべく早く____。,,,
bt14-q14,bai-tap-14,1,14,mcq_blank,,この「市長のブログ」では、私が市役所の中で感じたこと、皆さんのお話を____感じたことを率直に書かせていただきたいと思っています。,,,
bt14-q15,bai-tap-14,1,15,mcq_blank,,"部長「田中君、今度の会議でこのプロジェクトの説明をするのは青木課長だっけ？」
田中「はい、課長がご説明____。」",,,
bt14-q16,bai-tap-14,1,16,mcq_blank,（電話で）,"吉井「あ、斉藤先生でいらっしゃいますか。東洋出版の吉井でございますが、今から投稿をいただきにあがってもよろしいでしょうか。」
斉藤「すみません。まだできていないんですが。。。あと一週間ほど____。」",,,
bt14-q17,bai-tap-14,1,17,mcq_blank,（パーティーで）,"石井「あ、山田さんはS社にお勤めなんですね。今度、スミスさんがCEOになられるそうで。」
山田「えっ、石井さん、スミスとお知り合いなんですか。」
石井「ええ、以前アメリカで大変お世話になりまして、よく____よ。」",,,
bt14-q18,bai-tap-14,1,18,mcq_blank,,皆様のおかげで____ございました。,,,
bt15-q01,bai-tap-15,1,1,mcq_blank,,指定席ですから急がなくても____。,,,
bt15-q02,bai-tap-15,1,2,mcq_blank,,今回をもちまして無料サービスは____のでご了承ください。,,,
bt15-q03,bai-tap-15,1,3,mcq_blank,,さきほど中村様とおっしゃる方が____。,,,
bt15-q04,bai-tap-15,1,4,mcq_blank,,ノーベル賞を受賞された方に____、大変光栄に存じます。,,,
