question__code,position,text_jp,is_correct
bt03-q09,1,募集について,true
bt03-q09,2,うかがいたい,false
bt03-q09,3,アルバイトの,false
bt03-q09,4,そちらの,false
bt03-q10,1,日本,false
bt03-q10,2,いらっしゃった,true
bt03-q10,3,に,false
bt03-q10,4,の,false
bt04-q01,1,なさい,false
bt04-q01,2,お食べいたし,false
bt04-q01,3,うかがい,false
bt04-q01,4,いただき,true
bt04-q02,1,さしあげた,false
bt04-q02,2,いらっしゃった,false
bt04-q02,3,くださった,true
bt04-q02,4,おっしゃった,false
bt04-q03,1,願えてもいいでしょうか,false
bt04-q03,2,願うことでしょうか,false
bt04-q03,3,願えるわけでしょうか,false
bt04-q03,4,願えませんでしょうか,true
bt04-q04,1,いただく,true
bt04-q04,2,いらっしゃる,false
bt04-q04,3,うかがう,false
bt04-q04,4,おっしゃる,false
bt04-q05,1,いらっしゃいます,false
bt04-q05,2,いたします,false
bt04-q05,3,まいります,true
bt04-q05,4,いただきます,false
bt04-q06,1,おうかがいなっても,false
bt04-q06,2,おうかがいしても,true
bt04-q06,3,うかがいになっても,false
bt04-q06,4,うかがいにしても,false
bt04-q07,1,ご応募してまいる,false
bt04-q07,2,ご応募しておる,false
bt04-q07,3,ご応募いただく,true
bt04-q07,4,ご応募いたす,false
bt04-q08,1,お目にかかる,true
bt04-q08,2,お見えになる,false
bt04-q08,3,拝見できる,false
bt04-q08,4,ご覧になる,false
bt04-q09,1,見学させていただいた,true
bt04-q09,2,見学してまいった,false
bt04-q09,3,見学させられていた,false
bt04-q09,4,見学してしまった,false
bt04-q10,1,おうかがい,false
bt04-q10,2,お越し,true
bt04-q10,3,おうかがって,false
bt04-q10,4,お越して,false
bt04-q11,1,お送りいたした,false
bt04-q11,2,お送ってくださった,false
bt04-q11,3,お送りいただいた,true
bt04-q11,4,お送りさしあげた,false
bt04-q12,1,おっしゃる,true
bt04-q12,2,いらっしゃる,false
bt04-q12,3,うかがう,false
bt04-q12,4,めしあがる,false
bt04-q13,1,まいります,false
bt04-q13,2,いたします,true
bt04-q13,3,なさいます,false
bt04-q13,4,くださいます,false
bt04-q14,1,お作ってみた,false
bt04-q14,2,お作りにした,false
bt04-q14,3,お作ってまいった,false
bt04-q14,4,お作りになった,true
bt04-q15,1,いただきます,false
bt04-q15,2,いらっしゃいます,false
bt04-q15,3,なさいます,false
bt04-q15,4,うかがいます,true
bt05-q01,1,おかけ直し,false
bt05-q01,2,になって,true
bt05-q01,3,お確かめ,false
bt05-q01,4,番号を,false
bt05-q02,1,で,false
bt05-q02,2,さしあげます,true
bt05-q02,3,から,false
bt05-q02,4,ひいて,false
bt05-q03,1,別に,false
bt05-q03,2,ご覧に,false
bt05-q03,3,ような,false
bt05-q03,4,なる,true
bt05-q04,1,いらっしゃいます,true
bt05-q04,2,視野も広く持って,false
bt05-q04,3,すぐれて,false
bt05-q04,4,から,false
bt05-q05,1,もらう,true
bt05-q05,2,おいしく,false
bt05-q05,3,ため,false
bt05-q05,4,いただいて,false
bt05-q06,1,ございます,false
bt05-q06,2,で,true
bt05-q06,3,23時まで,false
bt05-q06,4,お席は,false
bt05-q07,1,お待ち,true
bt05-q07,2,ですので,false
bt05-q07,3,お客様,false
bt05-q07,4,が,false
bt05-q08,1,ご報告,false
bt05-q08,2,ございましたら,false
bt05-q08,3,ことが,false
bt05-q08,4,できる,true
bt05-q09,1,電源を切り,false
bt05-q09,2,ください,false
bt05-q09,3,30分以上休ませて,true
bt05-q09,4,できませんので,false
bt05-q10,1,項目があった,false
bt05-q10,2,値段を書き込む,false
bt05-q10,3,ので,true
bt05-q10,4,先生にうかがった,false
bt05-q11,1,くださった,false
bt05-q11,2,ご期待にこたえて,false
bt05-q11,3,皆様の,true
bt05-q11,4,チームを支えて,false
bt05-q12,1,お持ち,false
bt05-q12,2,になったことが,false
bt05-q12,3,お教え,false
bt05-q12,4,ございましたら,true
bt05-q13,1,お祈り申し上げます,false
bt05-q13,2,被災地の,false
bt05-q13,3,復興を心より,true
bt05-q13,4,一日も早い,false
bt05-q14,1,ここで過ごして,false
bt05-q14,2,家族と離れて,false
bt05-q14,3,から,false
bt05-q14,4,いらっしゃいます,true
bt05-q15,1,参加して,false
bt05-q15,2,3年生も,true
bt05-q15,3,ところ,false
bt05-q15,4,うかがった,false
bt06-q01,1,やって,true
bt06-q01,2,くれて,false
bt06-q01,3,やらないで,false
bt06-q01,4,くれないで,false
bt06-q02,1,くる,false
bt06-q02,2,くれ,true
bt06-q02,3,もらえ,false
bt06-q02,4,こい,false
bt06-q03,1,いき,false
bt06-q03,2,き,false
bt06-q03,3,いただけ,true
bt06-q03,4,いただき,false
bt06-q04,1,あげて,false
bt06-q04,2,もらって,true
bt06-q04,3,くれて,false
bt06-q04,4,やって,false
bt06-q05,1,もらえない,false
bt06-q05,2,もらいたい,true
bt06-q05,3,くださる,false
bt06-q05,4,あげる,false
bt06-q06,1,あげて,true
bt06-q06,2,くれて,false
bt06-q06,3,もらって,false
bt06-q06,4,くださって,false
bt06-q07,1,見て,true
bt06-q07,2,姿を,false
bt06-q07,3,あげて,false
bt06-q07,4,是非,false
bt06-q08,1,教えて,false
bt06-q08,2,くれない,false
bt06-q08,3,もらって,true
bt06-q08,4,人に,false
bt06-q09,1,んですが,false
bt06-q09,2,いただけ,false
bt06-q09,3,案内して,true
bt06-q09,4,見学したい,false
bt06-q10,1,言わないで,false
bt06-q10,2,今すぐ,false
bt06-q10,3,帰りたい,false
bt06-q10,4,なんて,true
bt07-q01,1,承知,false
bt07-q01,2,了承,true
bt07-q01,3,承諾,false
bt07-q01,4,承認,false
bt07-q02,1,入れたい,false
bt07-q02,2,見えたい,false
bt07-q02,3,かかりたい,true
bt07-q02,4,入りたい,false
bt07-q03,1,申し上げます,true
bt07-q03,2,なさいます,false
bt07-q03,3,させます,false
bt07-q03,4,いただきます,false
bt07-q04,1,差し上げ,false
bt07-q04,2,ください,false
bt07-q04,3,差し支え,false
bt07-q04,4,承り,true
bt07-q05,1,でございます,false
bt07-q05,2,ございます,true
bt07-q05,3,おります,false
bt07-q05,4,いらっしゃいます,false
bt07-q06,1,願います,true
bt07-q06,2,願いです,false
bt07-q06,3,願いします,false
bt07-q06,4,願いいたします,false
bt07-q07,1,高,false
bt07-q07,2,弊,false
bt07-q07,3,名,false
bt07-q07,4,貴,true
bt07-q08,1,拝,true
bt07-q08,2,貴,false
bt07-q08,3,御,false
bt07-q08,4,高,false
bt07-q09,1,頂いて,false
bt07-q09,2,お食い,false
bt07-q09,3,召し上がって,true
bt07-q09,4,食べ,false
bt07-q10,1,見えられた,false
bt07-q10,2,見れました,false
bt07-q10,3,お見えになりました,true
bt07-q10,4,お見えになられました,false
bt08-q01,1,申されます,false
bt08-q01,2,申し上げます,true
bt08-q01,3,申し出します,false
bt08-q01,4,申しかかります,false
bt08-q02,1,召して,true
bt08-q02,2,召し上がって,false
bt08-q02,3,お召にして,false
bt08-q02,4,召した,false
bt08-q03,1,なさり,false
bt08-q03,2,致し,false
bt08-q03,3,差し支え,false
bt08-q03,4,承り,true
bt08-q04,1,願います,true
bt08-q04,2,くださいます,false
bt08-q04,3,なさいます,false
bt08-q04,4,いたします,false
bt08-q05,1,ございます,false
bt08-q05,2,いらっしゃいます,true
bt08-q05,3,おります,false
bt08-q05,4,あります,false
bt08-q06,1,なって,false
bt08-q06,2,すべて,false
bt08-q06,3,預からせて,false
bt08-q06,4,いただくことに,true
bt08-q07,1,研究して,true
bt08-q07,2,ついて,false
bt08-q07,3,おいでになる,false
bt08-q07,4,日米関係に,false
bt08-q08,1,お届け,false
bt08-q08,2,いただければ,true
bt08-q08,3,お申し込み,false
bt08-q08,4,今月中に,false
bt08-q09,1,私はそう存じて,false
bt08-q09,2,生きている,false
bt08-q09,3,とは,true
bt08-q09,4,お金のために,false
bt08-q10,1,同封した,false
bt08-q10,2,お返事くださる,false
bt08-q10,3,葉書にて,true
bt08-q10,4,いかんによらず,false
bt09-q01,1,ご遠慮いただく,false
bt09-q01,2,ご遠慮になれる,false
bt09-q01,3,ご遠慮くださる,true
bt09-q01,4,ご遠慮なさる,false
bt09-q02,1,ご遠慮くださいます,false
bt09-q02,2,ご遠慮願います,true
bt09-q02,3,ご遠慮致します,false
bt09-q02,4,ご遠慮なさいます,false
bt09-q03,1,お聞かせし,false
bt09-q03,2,受け付け,false
bt09-q03,3,お聞きされ,false
bt09-q03,4,承り,true
bt09-q04,1,ご利用になれます,true
bt09-q04,2,ご利用できます,false
bt09-q04,3,ご利用いたします,false
bt09-q04,4,ご利用なさいます,false
bt09-q05,1,ご覧になりたい,false
bt09-q05,2,お目にかけたい,false
bt09-q05,3,ご覧に入れたい,false
bt09-q05,4,お目にかかりたい,true
bt09-q06,1,お譲りできる,false
bt09-q06,2,お譲りになれる,false
bt09-q06,3,お譲りいたす,false
bt09-q06,4,お譲りいただく,true
bt09-q07,1,存じ上げております,false
bt09-q07,2,存じていらっしゃいます,false
bt09-q07,3,存じております,true
bt09-q07,4,ご存じでおります,false
bt09-q08,1,ちょうだいした,true
bt09-q08,2,くださった,false
bt09-q08,3,さし上げる,false
bt09-q08,4,いただく,false
bt09-q09,1,楽しゅう,true
bt09-q09,2,楽しい,false
bt09-q09,3,楽しう,false
bt09-q09,4,楽そう,false
bt09-q10,1,ご記入なさってお願いします,false
bt09-q10,2,ご記入願います,true
bt09-q10,3,ご記入してお願いします,false
bt09-q10,4,ご記入し願います,false
bt10-q01,1,お答えになった,false
bt10-q01,2,お答えされた,false
bt10-q01,3,お答えいたした,false
bt10-q01,4,お答えいただいた,true
bt10-q02,1,ご来店いたした,false
bt10-q02,2,ご来店くださった,true
bt10-q02,3,ご来店していたした,false
bt10-q02,4,ご来店してくださった,false
bt10-q03,1,いただきます,false
bt10-q03,2,いたしてございます,false
bt10-q03,3,申し上げます,true
bt10-q03,4,させられております,false
bt10-q04,1,おる,false
bt10-q04,2,なさる,false
bt10-q04,3,いらっしゃる,true
bt10-q04,4,いたす,false
bt10-q05,1,お目にかかった,true
bt10-q05,2,お伺いした,false
bt10-q05,3,ご覧になった,false
bt10-q05,4,お会いになった,false
bt10-q06,1,ご覧にいれる,false
bt10-q06,2,ご覧になる,false
bt10-q06,3,お越しになる,false
bt10-q06,4,おいでになる,true
bt10-q07,1,なさりたい,false
bt10-q07,2,おりたい,false
bt10-q07,3,まいりたい,true
bt10-q07,4,いたしたい,false
bt10-q08,1,伺って,false
bt10-q08,2,存じて,false
bt10-q08,3,承って,false
bt10-q08,4,ご存じで,true
bt10-q09,1,拝見してくださって,false
bt10-q09,2,拝見させていただいて,true
bt10-q09,3,拝見になって,false
bt10-q09,4,拝見されて,false
bt10-q10,1,ご指導さしあげた,false
bt10-q10,2,ご指導くださった,true
bt10-q10,3,ご指導いただいた,false
bt10-q10,4,ご指導なさった,false
bt11-q01,1,おわび申し上げます,true
bt11-q01,2,おわびいただきます,false
bt11-q01,3,わびていただきます,false
bt11-q01,4,わびていらっしゃいます,false
bt11-q02,1,お持ちいただけますか,false
bt11-q02,2,お持ちになりますか,false
bt11-q02,3,お持ちですか,true
bt11-q02,4,お持ちしますか,false
bt11-q03,1,ご覧のように,true
bt11-q03,2,ご覧いただくために,false
bt11-q03,3,拝見したとおり,false
bt11-q03,4,拝見したきり,false
bt11-q04,1,聞いて,false
bt11-q04,2,聞けて,false
bt11-q04,3,聞かせて,true
bt11-q04,4,聞かれて,false
bt11-q05,1,いらっしゃいました,false
bt11-q05,2,してくださいました,true
bt11-q05,3,まいりました,false
bt11-q05,4,していただきました,false
bt11-q06,1,聞いてあげることは,false
bt11-q06,2,聞いてもらうだけで,true
bt11-q06,3,聞いてくれることに,false
bt11-q06,4,聞いてやるだけが,false
bt11-q07,1,やらせてやりたい,true
bt11-q07,2,やらせていただく,false
bt11-q07,3,やらせてもらった,false
bt11-q07,4,やらせてくれた,false
bt11-q08,1,持ってきてくれるはずだ,false
bt11-q08,2,持ってきてあげるつもりだ,false
bt11-q08,3,持ってきてくれればいい,true
bt11-q08,4,持ってきてあげたほうがいい,false
bt11-q09,1,まいる,false
bt11-q09,2,お目にかかる,false
bt11-q09,3,ご覧になる,false
bt11-q09,4,おいでになる,true
bt11-q10,1,ご存じです,false
bt11-q10,2,ご存じでしょうか,true
bt11-q10,3,ご存じのようです,false
bt11-q10,4,ご存じなのでしょう,false
bt11-q11,1,申し上げます,false
bt11-q11,2,差し上げます,false
bt11-q11,3,いたします,false
bt11-q11,4,うけたまわります,true
bt11-q12,1,お探しでしたら,true
bt11-q12,2,探してくださいましたら,false
bt11-q12,3,お探ししましたら,false
bt11-q12,4,探させていただきましたら,false
bt11-q13,1,やりませんか,false
bt11-q13,2,やってください,true
bt11-q13,3,いただきませんか,false
bt11-q13,4,いただいてください,false
bt11-q14,1,感じてもらう,false
bt11-q14,2,感じてやる,false
bt11-q14,3,感じさせている,false
bt11-q14,4,感じさせられる,true
bt12-q01,1,お持ち,true
bt12-q01,2,お持ちになり,false
bt12-q01,3,持ち,false
bt12-q01,4,持ちにいたし,false
bt12-q02,1,拝見し,false
bt12-q02,2,ごらんになり,false
bt12-q02,3,お目にかけ,true
bt12-q02,4,お目にかかり,false
bt12-q03,1,おありでしたら,true
bt12-q03,2,おありましたら,false
bt12-q03,3,いらっしゃったら,false
bt12-q03,4,おっしゃったら,false
bt12-q04,1,説明していただきます,false
bt12-q04,2,説明していただけません,true
bt12-q04,3,ご説明いたします,false
bt12-q04,4,ご説明になります,false
bt12-q05,1,います,false
bt12-q05,2,おります,false
bt12-q05,3,いられます,false
bt12-q05,4,いらっしゃいます,true
bt12-q06,1,ご教え願え,false
bt12-q06,2,ご教え願い,false
bt12-q06,3,お教え願え,true
bt12-q06,4,お教え願い,false
bt12-q07,1,もうしました,false
bt12-q07,2,まいりました,false
bt12-q07,3,おっしゃいました,true
bt12-q07,4,いらっしゃいました,false
bt12-q08,1,いたせない,false
bt12-q08,2,いただかない,false
bt12-q08,3,なさらない,false
bt12-q08,4,いただけない,true
bt12-q09,1,お招きなさり,false
bt12-q09,2,お招きいただき,true
bt12-q09,3,お招きいたし,false
bt12-q09,4,お招きになり,false
bt12-q10,1,いらっしゃいました,false
bt12-q10,2,くださいました,false
bt12-q10,3,いただきました,false
bt12-q10,4,まいりました,true
bt12-q11,1,うかがって,true
bt12-q11,2,頂載して,false
bt12-q11,3,拝見して,false
bt12-q11,4,ご覧になって,false
bt12-q12,1,大柄なうちに,false
bt12-q12,2,大柄なものの,false
bt12-q12,3,小柄なわりに,false
bt12-q12,4,小柄なうえに,true
bt12-q13,1,教えてさしあげた,false
bt12-q13,2,お教えにされた,false
bt12-q13,3,教えてくださった,true
bt12-q13,4,お教えいたした,false
bt12-q14,1,召してもらいたい,false
bt12-q14,2,拝見させていただきたい,false
bt12-q14,3,上がってもらいたい,false
bt12-q14,4,聞いていただきたい,true
bt12-q15,1,お過ごさせください,false
bt12-q15,2,お過ごしください,true
bt12-q15,3,過ごさせていただきます,false
bt12-q15,4,過ごしていただきます,false
bt13-q01,1,みえます,true
bt13-q01,2,あがります,false
bt13-q01,3,くださいます,false
bt13-q01,4,さしあげます,false
bt13-q02,1,致します,false
bt13-q02,2,承ります,false
bt13-q02,3,存じます,true
bt13-q02,4,申し上げます,false
bt13-q03,1,過ごしてくださる一方で,false
bt13-q03,2,過ごさせてくださる一方で,false
bt13-q03,3,過ごしていただく中で,false
bt13-q03,4,過ごさせていただく中で,true
bt13-q04,1,されますように,true
bt13-q04,2,願ってはどうですか,false
bt13-q04,3,いたしたく思います,false
bt13-q04,4,していらっしゃるでしょうか,false
bt13-q05,1,知っていただけます,false
bt13-q05,2,存じ上げています,true
bt13-q05,3,お目にかかれます,false
bt13-q05,4,お会いになっています,false
bt13-q06,1,知らされておらず,true
bt13-q06,2,知らされていないと,false
bt13-q06,3,知られつつも,false
bt13-q06,4,知られたためか,false
bt13-q07,1,ご覧の結果,false
bt13-q07,2,ご覧になった結果,false
bt13-q07,3,ご覧になった上で,true
bt13-q07,4,ご覧くださった上に,false
bt13-q08,1,かぶって頂きたい,true
bt13-q08,2,かぶらせて頂きたくない,false
bt13-q08,3,かぶってやりたい,false
bt13-q08,4,かぶらせてくれたくない,false
bt13-q09,1,さしあげかねません,false
bt13-q09,2,いたしかねません,false
bt13-q09,3,さしあげかねます,false
bt13-q09,4,いたしかねます,true
bt13-q10,1,お聞きいただけませんか,false
bt13-q10,2,お聞かせ願えますか,true
bt13-q10,3,お話になるでしょうか,false
bt13-q10,4,お話し申し上げましょうか,false
bt13-q11,1,やりぬく,false
bt13-q11,2,やりたがる,false
bt13-q11,3,やられる,false
bt13-q11,4,やらせる,true
bt13-q12,1,嫌で,false
bt13-q12,2,嫌がられ,true
bt13-q12,3,嫌がらず,false
bt13-q12,4,嫌がらせ,false
bt13-q13,1,させられる,true
bt13-q13,2,しつつある,false
bt13-q13,3,なっている,false
bt13-q13,4,されがちな,false
bt13-q14,1,育てられる,false
bt13-q14,2,育たれる,false
bt13-q14,3,育てさせる,true
bt13-q14,4,育つ,false
bt13-q15,1,言われれば,false
bt13-q15,2,言われたら,false
bt13-q15,3,言わせると,true
bt13-q15,4,言わせて,false
bt13-q16,1,に言わせていれば,false
bt13-q16,2,から言わせてやれば,false
bt13-q16,3,に言わせてあげれば,false
bt13-q16,4,から言わせてもらえば,true
bt13-q17,1,別れさせられたり,true
bt13-q17,2,別れたり,false
bt13-q17,3,別れられたり,false
bt13-q17,4,別れさせたり,false
bt13-q18,1,待たせた,false
bt13-q18,2,待たされる,false
bt13-q18,3,待たせる,false
bt13-q18,4,待たされた,true
bt13-q19,1,刺されさえしたら,false
bt13-q19,2,刺されでもしたら,true
bt13-q19,3,刺させるなどしても,false
bt13-q19,4,刺させるくらいしても,false
bt14-q01,1,差し上げたく,false
bt14-q01,2,いたしたく,false
bt14-q01,3,いただきたく,true
bt14-q01,4,申し上げたく,false
bt14-q02,1,詫びでいただきます,false
bt14-q02,2,お詫びいただきます,false
bt14-q02,3,詫びでいらっしゃいます,false
bt14-q02,4,お詫び申し上げます,true
bt14-q03,1,くだざりたい,false
bt14-q03,2,なさりたい,false
bt14-q03,3,になりたい,false
bt14-q03,4,願いたい,true
bt14-q04,1,承ります,false
bt14-q04,2,存じます,true
bt14-q04,3,預かります,false
bt14-q04,4,頂戴します,false
bt14-q05,1,ご覧の結果,false
bt14-q05,2,ご覧になった結果,false
bt14-q05,3,ご覧くださった上に,false
bt14-q05,4,ご覧になった上で,true
bt14-q06,1,なさった,false
bt14-q06,2,差し上げた,false
bt14-q06,3,頂戴した,true
bt14-q06,4,おいでくださった,false
bt14-q07,1,されますように,false
bt14-q07,2,なられますように,true
bt14-q07,3,願ってはどうでしょうか,false
bt14-q07,4,していらっしゃると存じ,false
bt14-q08,1,いたします,false
bt14-q08,2,参ります,true
bt14-q08,3,願います,false
bt14-q08,4,頂戴します,false
bt14-q09,1,願います,true
bt14-q09,2,いたします,false
bt14-q09,3,なさいます,false
bt14-q09,4,申します,false
bt14-q10,1,お聞きいただけませんか,false
bt14-q10,2,お話になるでしょうか,false
bt14-q10,3,お聞かせ願えますか,true
bt14-q10,4,お話し申し上げましょうか,false
bt14-q11,1,願います,false
bt14-q11,2,あがります,true
bt14-q11,3,なさいます,false
bt14-q11,4,見えます,false
bt14-q12,1,申し上げてもよろしいですか,false
bt14-q12,2,お詫びくださいませんか,false
bt14-q12,3,伺ってもよろしいでしょうか,false
bt14-q12,4,おしゃってくださいませんか,true
bt14-q13,1,作っていただいてはいかがでしょうか,false
bt14-q13,2,作っていただいたと思うんですが,false
bt14-q13,3,作っていただけると助かるんですが,true
bt14-q13,4,作っていただくんでしょうか,false
bt14-q14,1,聞いてくださる一方で,false
bt14-q14,2,聞いていただく中で,false
bt14-q14,3,聞かせてくださる一方で,false
bt14-q14,4,聞かせていただく中で,true
bt14-q15,1,なさいます,true
bt14-q15,2,いただきます,false
bt14-q15,3,申します,false
bt14-q15,4,願います,false
bt14-q16,1,待っておいでになります,false
bt14-q16,2,お待ち申し上げております,false
bt14-q16,3,待たせていただくことにしましょうか,true
bt14-q16,4,待っていただくわけにはいきませんか,false
bt14-q17,1,存じ上げています,true
bt14-q17,2,知っていただけます,false
bt14-q17,3,ご存知です,false
bt14-q17,4,市って差し上げ,false
bt14-q18,1,楽しゅう,true
bt14-q18,2,楽しい,false
bt14-q18,3,楽しかった,false
bt14-q18,4,楽しくて,false
bt15-q01,1,おかけなさいますよ,false
bt15-q01,2,おかけになりますよ,false
bt15-q01,3,おかけられますよ,false
bt15-q01,4,おかけになれますよ,true
bt15-q02,1,終了していただきます,false
bt15-q02,2,終了なさっております,false
bt15-q02,3,終了させていただきます,true
bt15-q02,4,終了していらっしゃいます,false
bt15-q03,1,まいられました,false
bt15-q03,2,うかがってくださいました,false
bt15-q03,3,お越しいただきました,false
bt15-q03,4,お見えになりました,true
bt15-q04,1,お目にかけて,false
bt15-q04,2,お目にかかられて,false
bt15-q04,3,お目にかかれて,true
bt15-q04,4,お目にかけられて,false
bt15-q05,1,ご遠慮いたさないで,false
bt15-q05,2,ご遠慮なさらないで,true
bt15-q05,3,ご遠慮いただけないで,false
bt15-q05,4,ご遠慮させないで,false
bt15-q06,1,お寄りいたした,false
bt15-q06,2,お見えされた,false
bt15-q06,3,お越しさせた,false
bt15-q06,4,おいでいただいた,true
bt15-q07,1,申し上げます,false
